Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2024-10-03,4095.729248046875,4140.48206305418,4073.715701205444,4124.6130512546615,3350119
2024-10-04,4114.59814453125,4158.8671468505645,4087.3108328002295,4088.2302688328605,2965463
2024-10-07,4134.5322265625,4158.142271441105,4092.488572171604,4135.548047668522,1472619
2024-10-08,4115.56640625,4140.869800034202,4067.862504526245,4134.290114442963,1541867
2024-10-09,4115.2763671875,4155.964962051848,4109.228688255527,4122.097960032799,1082504
2024-10-10,4090.552978515625,4154.852086865368,4062.6854643067595,4115.566271888714,2378875
2024-10-11,4014.884521484375,4104.632068442549,3979.3241726896263,4008.885035554904,5759183
2024-10-14,4002.740234375,4030.55955301569,3988.758286403975,4005.981884259405,2137590
2024-10-15,3983.532958984375,4034.9627935360827,3962.4388459373426,3997.3216655911165,2759474
2024-10-16,3962.390625,3981.791625367445,3935.5389317791137,3952.762767831352,2359151
2024-10-17,3975.98583984375,3996.2578476082817,3960.4553538692003,3979.662639462069,2522659
2024-10-18,3999.3134765625,4021.7203200989325,3957.555634138583,3967.2555253987266,2361000
2024-10-21,3957.410400390625,4015.7068440923113,3947.8559123636996,4008.577328984528,1595450
2024-10-22,3894.99169921875,3967.0619453741715,3886.1163926124573,3943.976154656565,1928049
2024-10-23,3944.218505859375,3990.0988046535886,3875.2521803889317,3879.568821693881,1966476
2024-10-24,3926.419189453125,3956.5859483101467,3883.83675828238,3883.83675828238,2676744
2024-10-25,3935.77978515625,3969.195866237257,3911.6754584473592,3935.294790548938,1759676
2024-10-28,3968.080322265625,4009.935260557306,3929.4261588093,3946.8374171860255,1532534
2024-10-29,3952.948486328125,3980.3506812213877,3938.2532446772457,3972.93035856872,1445885
2024-10-30,3962.066162109375,3983.7455147493297,3938.20457065421,3952.7058613595127,1935002
2024-10-31,3849.353515625,3955.9069218182585,3841.1571544133103,3947.8559642581245,3740372
2024-11-01,3864.630859375,3878.938199838426,3856.7255422512235,3870.1114403526394,154895
2024-11-04,3845.182373046875,3872.099571810969,3795.8100203095887,3847.2679917961304,2269192
2024-11-05,3852.16650390625,3866.3767502220803,3822.824332131484,3822.824332131484,967590
2024-11-06,4015.41552734375,4025.2608225821327,3855.949404329062,3883.4486917123177,3792017
2024-11-07,4026.32763671875,4079.57994326919,3962.4539969486996,4044.5637158676946,3724349
2024-11-08,4022.544921875,4044.6121745812106,3994.075646185662,4030.3048349145465,1648039
2024-11-11,4072.693603515625,4107.2248380989095,3994.0756993115056,4004.30936894503,1406487
2024-11-12,4071.43212890625,4091.4139989704845,4039.374178796796,4089.4740207822574,1587640
2024-11-13,4025.79443359375,4070.801833976732,4007.073359426007,4052.7116316381544,1098813
2024-11-14,4021.47802734375,4035.1549694416417,3992.9121303063102,4010.905240057978,1825432
2024-11-18,3898.87158203125,4086.564491876516,3870.4508511622103,4086.564491876516,3313944
2024-11-19,3918.31982421875,4008.1406798497587,3893.6336470463475,3899.2593948174936,1776233
2024-11-21,3950.620361328125,3969.632006373062,3903.2362971405664,3923.5089754295373,2384347
2024-11-22,4117.21630859375,4127.255791674707,3932.3362698538967,3948.826086476372,3096553
